,Loan_ID,Gender,married,Education,selfemployment,applicantincome,coapplicantincome,loanamount,Loan_amount_term,Credit_history,loan_status,source,dependents_0,dependents_1,dependents_2,dependents_3,Property_area_0,Property_area_1,Property_area_2
0,LP001002,1,0,0,0,5849,0.0,120.0,360.0,1.0,1,train,1,0,0,0,0,0,1
1,LP001003,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,train,0,1,0,0,1,0,0
2,LP001005,1,1,0,1,3000,0.0,66.0,360.0,1.0,1,train,1,0,0,0,0,0,1
3,LP001006,1,1,1,0,2583,2358.0,120.0,360.0,1.0,1,train,1,0,0,0,0,0,1
4,LP001008,1,0,0,0,6000,0.0,141.0,360.0,1.0,1,train,1,0,0,0,0,0,1
5,LP001011,1,1,0,1,5417,4196.0,267.0,360.0,1.0,1,train,0,0,1,0,0,0,1
6,LP001013,1,1,1,0,2333,1516.0,95.0,360.0,1.0,1,train,1,0,0,0,0,0,1
7,LP001014,1,1,0,0,3036,2504.0,158.0,360.0,0.0,0,train,0,0,0,1,0,1,0
8,LP001018,1,1,0,0,4006,1526.0,168.0,360.0,1.0,1,train,0,0,1,0,0,0,1
9,LP001020,1,1,0,0,12841,10968.0,349.0,360.0,1.0,0,train,0,1,0,0,0,1,0
10,LP001024,1,1,0,0,3200,700.0,70.0,360.0,1.0,1,train,0,0,1,0,0,0,1
11,LP001027,1,1,0,0,2500,1840.0,109.0,360.0,1.0,1,train,0,0,1,0,0,0,1
12,LP001028,1,1,0,0,3073,8106.0,200.0,360.0,1.0,1,train,0,0,1,0,0,0,1
13,LP001029,1,0,0,0,1853,2840.0,114.0,360.0,1.0,0,train,1,0,0,0,1,0,0
14,LP001030,1,1,0,0,1299,1086.0,17.0,120.0,1.0,1,train,0,0,1,0,0,0,1
15,LP001032,1,0,0,0,4950,0.0,125.0,360.0,1.0,1,train,1,0,0,0,0,0,1
16,LP001034,1,0,1,0,3596,0.0,100.0,240.0,1.0,1,train,0,1,0,0,0,0,1
17,LP001036,0,0,0,0,3510,0.0,76.0,360.0,0.0,0,train,1,0,0,0,0,0,1
18,LP001038,1,1,1,0,4887,0.0,133.0,360.0,1.0,0,train,1,0,0,0,1,0,0
19,LP001041,1,1,0,0,2600,3500.0,115.0,180.0,1.0,1,train,1,0,0,0,0,0,1
20,LP001043,1,1,1,0,7660,0.0,104.0,360.0,0.0,0,train,1,0,0,0,0,0,1
21,LP001046,1,1,0,0,5955,5625.0,315.0,360.0,1.0,1,train,0,1,0,0,0,0,1
22,LP001047,1,1,1,0,2600,1911.0,116.0,360.0,0.0,0,train,1,0,0,0,0,1,0
23,LP001050,1,1,1,0,3365,1917.0,112.0,360.0,0.0,0,train,0,0,1,0,1,0,0
24,LP001052,1,1,0,0,3717,2925.0,151.0,360.0,1.0,0,train,0,1,0,0,0,1,0
25,LP001066,1,1,0,1,9560,0.0,191.0,360.0,1.0,1,train,1,0,0,0,0,1,0
26,LP001068,1,1,0,0,2799,2253.0,122.0,360.0,1.0,1,train,1,0,0,0,0,1,0
27,LP001073,1,1,1,0,4226,1040.0,110.0,360.0,1.0,1,train,0,0,1,0,0,0,1
28,LP001086,1,0,1,0,1442,0.0,35.0,360.0,1.0,0,train,1,0,0,0,0,0,1
29,LP001087,0,0,0,0,3750,2083.0,120.0,360.0,1.0,1,train,0,0,1,0,0,1,0
